day;month;year;plot;subplot;species;individuals;obs
12;4;2023;7;A1;BEMA;55;
12;4;2023;7;A1;SPRU;40;
12;4;2023;7;A1;CETE;0;
12;4;2023;7;A1;POMO;0;
12;4;2023;7;A1;POMA;3;
12;4;2023;7;A1;CHFU;1;
12;4;2023;7;A1;SCLA;2;
12;4;2023;7;A1;PLCO;0;
12;4;2023;7;A1;HOMA;0;
12;4;2023;7;A1;PAIN;17;
12;4;2023;7;A1;LEMA;5;
12;4;2023;7;A1;SOAS;2;
12;4;2023;7;A1;MESU;0;
12;4;2023;7;A1;MEPO;0;
12;4;2023;7;A1;CHMI;0;
12;4;2023;7;A2;BEMA;63;
12;4;2023;7;A2;SPRU;22;
12;4;2023;7;A2;CETE;0;
12;4;2023;7;A2;POMO;1;
12;4;2023;7;A2;POMA;2;
12;4;2023;7;A2;CHFU;3;
12;4;2023;7;A2;SCLA;1;
12;4;2023;7;A2;PLCO;0;
12;4;2023;7;A2;HOMA;1;
12;4;2023;7;A2;PAIN;7;
12;4;2023;7;A2;LEMA;3;
12;4;2023;7;A2;SOAS;2;
12;4;2023;7;A2;MESU;30;
12;4;2023;7;A2;MEPO;0;
12;4;2023;7;A2;CHMI;0;
12;4;2023;7;A3;BEMA;75;
12;4;2023;7;A3;SPRU;18;
12;4;2023;7;A3;CETE;0;
12;4;2023;7;A3;POMO;0;
12;4;2023;7;A3;POMA;3;
12;4;2023;7;A3;CHFU;0;
12;4;2023;7;A3;SCLA;12;
12;4;2023;7;A3;PLCO;0;
12;4;2023;7;A3;HOMA;1;
12;4;2023;7;A3;PAIN;10;
12;4;2023;7;A3;LEMA;3;
12;4;2023;7;A3;SOAS;3;
12;4;2023;7;A3;MESU;0;
12;4;2023;7;A3;MEPO;0;
12;4;2023;7;A3;CHMI;0;
12;4;2023;7;A4;BEMA;28;
12;4;2023;7;A4;SPRU;10;
12;4;2023;7;A4;CETE;3;
12;4;2023;7;A4;POMO;0;
12;4;2023;7;A4;POMA;0;
12;4;2023;7;A4;CHFU;1;
12;4;2023;7;A4;SCLA;3;
12;4;2023;7;A4;PLCO;0;
12;4;2023;7;A4;HOMA;4;
12;4;2023;7;A4;PAIN;0;
12;4;2023;7;A4;LEMA;4;
12;4;2023;7;A4;SOAS;1;
12;4;2023;7;A4;MESU;5;
12;4;2023;7;A4;MEPO;5;
12;4;2023;7;A4;CHMI;0;
12;4;2023;7;A5;NA;NA;Salicornia
12;4;2023;7;A5;CHMI;0;
12;4;2023;7;A6;BEMA;40;
12;4;2023;7;A6;SPRU;10;
12;4;2023;7;A6;CETE;3;
12;4;2023;7;A6;POMO;3;
12;4;2023;7;A6;POMA;0;
12;4;2023;7;A6;CHFU;1;
12;4;2023;7;A6;SCLA;0;
12;4;2023;7;A6;PLCO;0;
12;4;2023;7;A6;HOMA;6;
12;4;2023;7;A6;PAIN;6;
12;4;2023;7;A6;LEMA;11;
12;4;2023;7;A6;SOAS;2;
12;4;2023;7;A6;MESU;0;
12;4;2023;7;A6;MEPO;2;
12;4;2023;7;A6;CHMI;0;
12;4;2023;7;B1;BEMA;87;
12;4;2023;7;B1;SPRU;37;
12;4;2023;7;B1;CETE;6;
12;4;2023;7;B1;POMO;2;
12;4;2023;7;B1;POMA;3;
12;4;2023;7;B1;CHFU;2;
12;4;2023;7;B1;SCLA;3;
12;4;2023;7;B1;PLCO;3;
12;4;2023;7;B1;HOMA;0;
12;4;2023;7;B1;PAIN;12;
12;4;2023;7;B1;LEMA;5;
12;4;2023;7;B1;SOAS;1;
12;4;2023;7;B1;MESU;43;
12;4;2023;7;B1;MEPO;0;
12;4;2023;7;B1;CHMI;0;
12;4;2023;7;B2;BEMA;42;
12;4;2023;7;B2;SPRU;37;
12;4;2023;7;B2;CETE;0;
12;4;2023;7;B2;POMO;2;
12;4;2023;7;B2;POMA;3;
12;4;2023;7;B2;CHFU;3;
12;4;2023;7;B2;SCLA;4;
12;4;2023;7;B2;PLCO;0;
12;4;2023;7;B2;HOMA;0;
12;4;2023;7;B2;PAIN;6;
12;4;2023;7;B2;LEMA;12;
12;4;2023;7;B2;SOAS;1;
12;4;2023;7;B2;MESU;4;
12;4;2023;7;B2;MEPO;0;
12;4;2023;7;B2;CHMI;0;
12;4;2023;7;B3;BEMA;52;
12;4;2023;7;B3;SPRU;29;
12;4;2023;7;B3;CETE;4;
12;4;2023;7;B3;POMO;0;
12;4;2023;7;B3;POMA;2;
12;4;2023;7;B3;CHFU;0;
12;4;2023;7;B3;SCLA;18;
12;4;2023;7;B3;PLCO;0;
12;4;2023;7;B3;HOMA;0;
12;4;2023;7;B3;PAIN;16;
12;4;2023;7;B3;LEMA;8;
12;4;2023;7;B3;SOAS;0;
12;4;2023;7;B3;MESU;19;
12;4;2023;7;B3;MEPO;0;
12;4;2023;7;B3;CHMI;0;
12;4;2023;7;B4;BEMA;62;
12;4;2023;7;B4;SPRU;0;
12;4;2023;7;B4;CETE;0;
12;4;2023;7;B4;POMO;0;
12;4;2023;7;B4;POMA;5;
12;4;2023;7;B4;CHFU;6;
12;4;2023;7;B4;SCLA;2;
12;4;2023;7;B4;PLCO;0;
12;4;2023;7;B4;HOMA;0;
12;4;2023;7;B4;PAIN;0;
12;4;2023;7;B4;LEMA;5;
12;4;2023;7;B4;SOAS;1;
12;4;2023;7;B4;MESU;40;
12;4;2023;7;B4;MEPO;8;
12;4;2023;7;B4;CHMI;0;
12;4;2023;7;B5;BEMA;41;
12;4;2023;7;B5;SPRU;10;
12;4;2023;7;B5;CETE;3;
12;4;2023;7;B5;POMO;0;
12;4;2023;7;B5;POMA;4;
12;4;2023;7;B5;CHFU;6;
12;4;2023;7;B5;SCLA;2;
12;4;2023;7;B5;PLCO;0;
12;4;2023;7;B5;HOMA;0;
12;4;2023;7;B5;PAIN;4;
12;4;2023;7;B5;LEMA;18;
12;4;2023;7;B5;SOAS;2;
12;4;2023;7;B5;MESU;9;
12;4;2023;7;B5;MEPO;0;
12;4;2023;7;B5;CHMI;0;
12;4;2023;7;B6;BEMA;50;
12;4;2023;7;B6;SPRU;18;
12;4;2023;7;B6;CETE;10;
12;4;2023;7;B6;POMO;2;
12;4;2023;7;B6;POMA;11;
12;4;2023;7;B6;CHFU;3;
12;4;2023;7;B6;SCLA;0;
12;4;2023;7;B6;PLCO;0;
12;4;2023;7;B6;HOMA;1;
12;4;2023;7;B6;PAIN;20;
12;4;2023;7;B6;LEMA;7;
12;4;2023;7;B6;SOAS;3;
12;4;2023;7;B6;MESU;3;
12;4;2023;7;B6;MEPO;0;
12;4;2023;7;B6;CHMI;2;
12;4;2023;7;C1;BEMA;60;
12;4;2023;7;C1;SPRU;4;
12;4;2023;7;C1;CETE;0;
12;4;2023;7;C1;POMO;4;
12;4;2023;7;C1;POMA;0;
12;4;2023;7;C1;CHFU;0;
12;4;2023;7;C1;SCLA;2;
12;4;2023;7;C1;PLCO;0;
12;4;2023;7;C1;HOMA;0;
12;4;2023;7;C1;PAIN;8;
12;4;2023;7;C1;LEMA;6;
12;4;2023;7;C1;SOAS;0;
12;4;2023;7;C1;MESU;3;
12;4;2023;7;C1;MEPO;3;
12;4;2023;7;C1;CHMI;0;
12;4;2023;7;C2;BEMA;28;
12;4;2023;7;C2;SPRU;35;
12;4;2023;7;C2;CETE;0;
12;4;2023;7;C2;POMO;2;
12;4;2023;7;C2;POMA;12;
12;4;2023;7;C2;CHFU;2;
12;4;2023;7;C2;SCLA;1;
12;4;2023;7;C2;PLCO;0;
12;4;2023;7;C2;HOMA;6;
12;4;2023;7;C2;PAIN;3;
12;4;2023;7;C2;LEMA;3;
12;4;2023;7;C2;SOAS;0;
12;4;2023;7;C2;MESU;5;
12;4;2023;7;C2;MEPO;0;
12;4;2023;7;C2;CHMI;0;
12;4;2023;7;C3;BEMA;43;
12;4;2023;7;C3;SPRU;7;
12;4;2023;7;C3;CETE;0;
12;4;2023;7;C3;POMO;6;
12;4;2023;7;C3;POMA;3;
12;4;2023;7;C3;CHFU;1;
12;4;2023;7;C3;SCLA;1;
12;4;2023;7;C3;PLCO;0;
12;4;2023;7;C3;HOMA;0;
12;4;2023;7;C3;PAIN;6;
12;4;2023;7;C3;LEMA;5;
12;4;2023;7;C3;SOAS;0;
12;4;2023;7;C3;MESU;15;
12;4;2023;7;C3;MEPO;0;
12;4;2023;7;C3;CHMI;0;
12;4;2023;7;C4;NA;NA;Salicornia
12;4;2023;7;C4;CHMI;0;
12;4;2023;7;C5;BEMA;18;
12;4;2023;7;C5;SPRU;8;
12;4;2023;7;C5;CETE;0;
12;4;2023;7;C5;POMO;0;
12;4;2023;7;C5;POMA;0;
12;4;2023;7;C5;CHFU;3;
12;4;2023;7;C5;SCLA;2;
12;4;2023;7;C5;PLCO;2;
12;4;2023;7;C5;HOMA;2;
12;4;2023;7;C5;PAIN;1;
12;4;2023;7;C5;LEMA;8;
12;4;2023;7;C5;SOAS;2;
12;4;2023;7;C5;MESU;5;
12;4;2023;7;C5;MEPO;0;
12;4;2023;7;C5;CHMI;0;
12;4;2023;7;C6;BEMA;38;
12;4;2023;7;C6;SPRU;12;
12;4;2023;7;C6;CETE;0;
12;4;2023;7;C6;POMO;2;
12;4;2023;7;C6;POMA;5;
12;4;2023;7;C6;CHFU;4;
12;4;2023;7;C6;SCLA;2;
12;4;2023;7;C6;PLCO;0;
12;4;2023;7;C6;HOMA;0;
12;4;2023;7;C6;PAIN;3;
12;4;2023;7;C6;LEMA;7;
12;4;2023;7;C6;SOAS;1;
12;4;2023;7;C6;MESU;2;
12;4;2023;7;C6;MEPO;0;
12;4;2023;7;C6;CHMI;0;
12;4;2023;7;D1;BEMA;75;
12;4;2023;7;D1;SPRU;44;
12;4;2023;7;D1;CETE;0;
12;4;2023;7;D1;POMO;0;
12;4;2023;7;D1;POMA;2;
12;4;2023;7;D1;CHFU;0;
12;4;2023;7;D1;SCLA;2;
12;4;2023;7;D1;PLCO;0;
12;4;2023;7;D1;HOMA;0;
12;4;2023;7;D1;PAIN;4;
12;4;2023;7;D1;LEMA;8;
12;4;2023;7;D1;SOAS;0;
12;4;2023;7;D1;MESU;3;
12;4;2023;7;D1;MEPO;0;
12;4;2023;7;D1;CHMI;0;
12;4;2023;7;D2;BEMA;23;
12;4;2023;7;D2;SPRU;53;
12;4;2023;7;D2;CETE;0;
12;4;2023;7;D2;POMO;0;
12;4;2023;7;D2;POMA;0;
12;4;2023;7;D2;CHFU;2;
12;4;2023;7;D2;SCLA;0;
12;4;2023;7;D2;PLCO;0;
12;4;2023;7;D2;HOMA;0;
12;4;2023;7;D2;PAIN;7;
12;4;2023;7;D2;LEMA;6;
12;4;2023;7;D2;SOAS;1;
12;4;2023;7;D2;MESU;0;
12;4;2023;7;D2;MEPO;0;
12;4;2023;7;D2;CHMI;0;
12;4;2023;7;D3;BEMA;63;
12;4;2023;7;D3;SPRU;23;
12;4;2023;7;D3;CETE;0;
12;4;2023;7;D3;POMO;1;
12;4;2023;7;D3;POMA;3;
12;4;2023;7;D3;CHFU;0;
12;4;2023;7;D3;SCLA;3;
12;4;2023;7;D3;PLCO;0;
12;4;2023;7;D3;HOMA;0;
12;4;2023;7;D3;PAIN;12;
12;4;2023;7;D3;LEMA;12;
12;4;2023;7;D3;SOAS;1;
12;4;2023;7;D3;MESU;15;
12;4;2023;7;D3;MEPO;0;
12;4;2023;7;D3;CHMI;0;
12;4;2023;7;D4;BEMA;46;
12;4;2023;7;D4;SPRU;16;
12;4;2023;7;D4;CETE;0;
12;4;2023;7;D4;POMO;3;
12;4;2023;7;D4;POMA;8;
12;4;2023;7;D4;CHFU;0;
12;4;2023;7;D4;SCLA;6;
12;4;2023;7;D4;PLCO;2;
12;4;2023;7;D4;HOMA;0;
12;4;2023;7;D4;PAIN;8;
12;4;2023;7;D4;LEMA;13;
12;4;2023;7;D4;SOAS;0;
12;4;2023;7;D4;MESU;0;
12;4;2023;7;D4;MEPO;33;
