day;month;year;plot;subplot;focal;fruit;ANAR;BEMA;BRMA;CHFU;CHMI;CHNO;CETE;HOMA;LEMA;MEEL;MEPO;MESU ;PAIN;PLCO;POMA;POMO ;PUPA ;SASO;SOAS;SCLA;SPRU
18;4;2023;1;A1;BEMA;10;;7;;;;;;;;;;;1;;;;;;;;
18;4;2023;1;A1;PAIN;1;;4;;;;;;;1;;;;3;;;;;;;;
18;4;2023;1;A1;HOMA;2;;4;;;;;;;1;;;;;1;;;;;;;
18;4;2023;1;A1;PLCO;2;;4;;;;;;1;1;;;;;;;;;;;;
18;4;2023;1;A1;CHFU;6;;1;;;;;;1;2;;;;;;;;;;;;
18;4;2023;1;A1;LEMA;3;;2;;;;;;;;;;;;;;;;;;;
18;4;2023;1;A2;BEMA;20;;2;;;;;;;2;;;;;;;;;;;;
18;4;2023;1;A2;CHFU;2;;1;;;;;;;1;;;;;;;;;;;;
18;4;2023;1;A2;HOMA;3;;4;;;;;;;1;;;;;;;;;;;;
18;4;2023;1;A2;PAIN;2;;4;;;;;;;;;;;;;;;;;;;
18;4;2023;1;A2;LEMA;2;;;;;;;;;2;;;;;;;;;;;;
18;4;2023;1;A3;CHFU;6;;1;;;;;;;1;;;;;;;;;;;;
18;4;2023;1;A3;BEMA;8;;1;;;;;;1;1;;;;;;;;;;;;
18;4;2023;1;A3;LEMA;2;;1;;1;;;;;1;;;;;;;;;;;;
18;4;2023;1;A3;HOMA;2;;2;;;;;;;1;;;;;;;;;;;;
18;4;2023;1;A4;CHFU;6;;1;;;;;;1;1;;;;;;;;;;;;
18;4;2023;1;A4;PAIN;1;;1;;1;;;;;1;;;;;;;;;;;;
18;4;2023;1;A4;BEMA;30;;2;;;;;;;;;;;;;;;;;;;
18;4;2023;1;A4;LEMA;4;;;;;;;;;2;;;;;;;;;;;;
18;4;2023;1;A5;CHFU;25;;2;;;;;;;;;;;;;;;;;;;
18;4;2023;1;A5;BEMA;8;;4;;1;;;;;;;;;;;;;;;;;
18;4;2023;1;A5;LEMA;2;;1;;2;;;;;;;;;;;;;;;;;
18;4;2023;1;A5;PAIN;4;;;;2;;;;;;;;;;;;;;;;;
18;4;2023;1;A6;BEMA;10;;1;;;;;;;2;;;;;;;;;;;;
18;4;2023;1;A6;LEMA;2;;4;;;;;;;;;;;1;;;;;;;;
18;4;2023;1;A6;PAIN;2;;;;;;;;;1;;;;;;;;;;;;
18;4;2023;1;A6;HOMA;1;;1;;;;;;;2;;;;;;;;;;;;
18;4;2023;1;A6;CHFU;15;;1;;1;;;;;;;;;;;;;;;;;
18;4;2023;1;B6;BEMA;6;;;;;;;;;;;;;;;;;;;;;
18;4;2023;1;B6;CHFU;14;;4;;;;;;;;;;;;;;;;;;;
18;4;2023;1;B6;LEMA;3;;5;;;;;;;;;;;;;;;;;;;
18;4;2023;1;B6;PAIN;4;;4;;;;;;;;;;;;;;;;;;;
18;4;2023;1;B6;HOMA;1;;5;;;;;;;;;;;;;;;;;;;
18;4;2023;1;B5;CHFU;6;;1;;1;;;;;1;;;;;;;;;;;;
18;4;2023;1;B5;BEMA;12;;4;;;;;;;1;;;;;;;;;;;;
18;4;2023;1;B5;PAIN;3;;;;;;;;;;;;;;;;;;;;;
18;4;2023;1;B5;LEMA;3;;4;;;;;;;;;;;1;;;;;;;;
18;4;2023;1;B4;SOAS;3;;;;;;;;1;;;;;;;;;;;;;
18;4;2023;1;B4;HOMA;1;;;;;;;;;;;;;;;;;;;1;;
18;4;2023;1;B4;PAIN;1;;1;;1;;;;;;;;;;;;;;;1;;
18;4;2023;1;B4;CHFU;5;;;;1;;;;;;;;;1;;;;;;;;
18;4;2023;1;B4;BEMA;10;;2;;1;;;;;;;;;;;;;;;;;
18;4;2023;1;B3;HOMA;1;;4;;;;;;;;;;;;;;;;;;;
18;4;2023;1;B3;BEMA;8;;1;;;;;;1;;;;;;;;;;;;;
18;4;2023;1;B3;CHFU;6;;;;;;;;;;;;;;1;;;;;;;
18;4;2023;1;B3;PLCO;1;;;;1;;;;;1;;;;;;;;;;;;
18;4;2023;1;B3;LEMA;2;;;;3;;;;;;;;;;;;;;;;;
18;4;2023;1;B3;PAIN;2;;4;;1;;;;;;;;;;;;;;;;;
18;4;2023;1;B2;CHFU;4;;1;;;;;;;;;;;;;;;;;;;
18;4;2023;1;B2;HOMA;1;;3;;;;;;;1;;;;;;;;;;;;
18;4;2023;1;B2;PAIN;4;;;;1;;;;;2;;;;;;;;;;;;
18;4;2023;1;B2;BEMA;8;;1;;1;;;;;;;;;;;;;;;;;
18;4;2023;1;B1;PAIN;3;;2;;;;;;;;;;;1;;;;;;;;
18;4;2023;1;B1;BEMA;10;;;;;;;;;2;;;;;;;;;;;;
18;4;2023;1;B1;HOMA;3;;1;;;;;;;2;;;;;;;;;;;;
18;4;2023;1;B1;LEMA;3;;;;;;;;1;;;;;1;;;;;;;;
18;4;2023;1;B1;CHFU;8;;;;;;;;;;;;;;;;;;;;;
18;4;2023;1;C1;PAIN;2;;3;;1;;;;;;;;;;;;;;;;;
